vertex_ind,xcoord,ycoord
"507",-114759.696737852733349,-2487209.037703130859882
"508",-114500.575347882782808,-2487268.118155920878053
"509",-114249.157827451170306,-2487321.708575726021081
"510",-114005.360483915501391,-2487368.447118727490306
"511",-113768.887986933841603,-2487406.858737685717642
"512",-113539.542960586506524,-2487435.562461391557008
"513",-113317.088038812682498,-2487453.246562193147838
"514",-113101.533697672974085,-2487458.913089598063380
"515",-112892.781583845775458,-2487451.829948438797146
"516",-112691.306743967536022,-2487431.694244391750544
"517",-112497.235254314698977,-2487398.490997302811593
"518",-112310.899374796121265,-2487352.498779153451324
"519",-112132.383713030358194,-2487294.138114215340465
"520",-111961.702405428237398,-2487224.145746985450387
"521",-111798.397838969947770,-2487143.471564785111696
"522",-111641.598281000216957,-2487053.535109297372401
"523",-111489.747427906739176,-2486956.164610928855836
"524",-111340.819158760394203,-2486853.624907046090811
"525",-111192.313481191493338,-2486748.598189280834049
"526",-111041.777441466227174,-2486643.549721931573004
"527",-110886.860125978404540,-2486540.735960883088410
"528",-110725.768427014249028,-2486441.880521269515157
"529",-110557.116428432636894,-2486348.313492876477540
"530",-110380.101797910305322,-2486260.739584431983531
"531",-110194.160786464577541,-2486179.800318710971624
"532",-109999.222089521863381,-2486105.688179895281792
"533",-109795.190976069396129,-2486038.449857263825834
"534",-109582.229810037330026,-2485978.008312678895891
"535",-109360.373414138943190,-2485924.109479000791907
"536",-109130.070695273665478,-2485876.441241069231182
"537",-108891.299596284719883,-2485834.468958756420761
"538",-108644.484304437311948,-2485797.672257801052183
"539",-108389.624389160977444,-2485765.452208915259689
"540",-108127.026156274558161,-2485737.132862285245210
"541",-107856.790037793165538,-2485712.168115468695760
"542",-107579.172521837172098,-2485689.908751247916371
"543",-107294.336749675538158,-2485669.856355792842805
"544",-107002.590599145478336,-2485651.431818285025656
"545",-106704.094287551473826,-2485634.217255356255919
"546",-106399.385106156201800,-2485617.800025937613100
"547",-106088.551479216301232,-2485601.856033510528505
"548",-105772.543801748382975,-2485586.105446190107614
"549",-105451.640323102212278,-2485570.295746807008982
"550",-105126.558718926695292,-2485554.352300671860576
"551",-104797.933516284552752,-2485538.168576738797128
"552",-104466.629659310274292,-2485521.817848378326744
"553",-104133.421089486015262,-2485505.395047075115144
"554",-103799.324450828949921,-2485489.138183878269047
"555",-103465.208496813807869,-2485473.370548639446497
"556",-103132.157034347488661,-2485458.533636814448982
"557",-102800.877140082011465,-2485445.139675683807582
"558",-102472.947481599316234,-2485433.744401639793068
"559",-102148.986199154824135,-2485425.032359185162932
"560",-101830.215016800531885,-2485419.652782462537289
"561",-101517.404172162045143,-2485418.344511535018682
"562",-101211.515710033112555,-2485421.748795368243009
"563",-100913.205600218425388,-2485430.506081231404096
"564",-100623.349046269082464,-2485445.198302462231368
"565",-100342.230917753535323,-2485466.259317317046225
"566",-100070.587314229487674,-2485493.975623323582113
"567",-99808.514164056512527,-2485528.403053814079612
"568",-99556.179338651418220,-2485569.454172978643328
"569",-99313.363713227430708,-2485616.675894229207188
"570",-99079.769738305054489,-2485669.477014377247542
"571",-98854.668222008127486,-2485726.888822640292346
"572",-98637.151552418028587,-2485787.566205664072186
"573",-98425.948571338900365,-2485849.891210797708482
"574",-98219.685327351326123,-2485911.908131066709757
"575",-98016.757707249038504,-2485971.596287758089602
"576",-97815.662067785509862,-2486026.915189645253122
"577",-97614.903617736839806,-2486076.057052846532315
"578",-97413.301820192631567,-2486117.579360439907759
